ID,Name,Age,Values,Category
1,Person_1,42.5,86313.62117588264,D
2,Person_2,34.0,92.50906033084016,C
3,Unknown,63.0,40.235452338446706,A
4,Person_4,42.5,186355.97688257598,C
5,Person_5,63.0,1000000.0,B
6,Unknown,40.0,1000000.0,C
7,Person_7,36.0,85.59672857667874,C
8,Person_8,61.0,15848.0434788213,C
9,Unknown,32.0,22.883001713418096,C
10,Person_10,42.5,90.89550571110988,D
11,Person_11,49.0,186355.97688257598,B
12,Person_12,53.0,84.73429676131214,A
13,Person_13,62.0,17.21117398049593,D
14,Person_14,26.0,1000000.0,C
15,Unknown,42.5,74.47121837470272,C
16,Unknown,25.0,45.26809940766007,A
17,Person_17,42.5,52.33077576905391,C
18,Person_18,42.5,186355.97688257598,B
19,Person_19,45.0,93.98440025371757,D
20,Person_20,40.0,65189.82263587052,C
